,model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
168,yolo5l_256,0.88198,0.77755,0.85354,0.52816
169,yolo5l_288,0.89548,0.80089,0.87451,0.54833
170,yolo5l_320,0.89905,0.82012,0.88652,0.56097
171,yolo5l_352,0.9044,0.83303,0.89665,0.56969
172,yolo5l_384,0.9042,0.84458,0.90043,0.57601
173,yolo5l_416,0.90933,0.85054,0.90808,0.58387
174,yolo5l_448,0.90926,0.85101,0.9063,0.568
175,yolo5l_480,0.91437,0.85929,0.91407,0.59276
176,yolo5m_160,0.79681,0.58337,0.69157,0.38765
177,yolo5m_192,0.8333,0.67226,0.76398,0.44472
178,yolo5m_224,0.85131,0.71668,0.80184,0.44296
179,yolo5m_256,0.87884,0.76434,0.84475,0.51708
180,yolo5m_288,0.88619,0.79408,0.86567,0.53838
181,yolo5m_320,0.8971,0.81202,0.87936,0.55228
182,yolo5m_352,0.90119,0.82311,0.88754,0.56106
183,yolo5m_384,0.90393,0.83503,0.89485,0.57104
184,yolo5m_416,0.90696,0.84182,0.90143,0.5768
185,yolo5m_448,0.91043,0.84185,0.90137,0.56283
186,yolo5m_480,0.91297,0.85223,0.90738,0.58653
187,yolo5n_160,0.71861,0.51858,0.60278,0.30483
188,yolo5n_192,0.76906,0.6031,0.6829,0.36149
189,yolo5n_224,0.79195,0.65138,0.72804,0.37219
190,yolo5n_256,0.82744,0.70105,0.77883,0.44259
191,yolo5n_288,0.84307,0.73341,0.80857,0.46836
192,yolo5n_320,0.85778,0.75447,0.8306,0.49061
193,yolo5n_352,0.86945,0.76711,0.84338,0.50441
194,yolo5n_384,0.87955,0.78205,0.8588,0.52064
195,yolo5n_416,0.88019,0.79369,0.86608,0.53031
196,yolo5n_448,0.88611,0.79984,0.87255,0.52418
197,yolo5n_480,0.89202,0.80972,0.88166,0.54856
198,yolo5s_416,0.8992,0.82561,0.89201,0.56322
199,yolo5s_448,0.90481,0.83104,0.895,0.55116
200,yolo5s_480,0.90588,0.84052,0.9003,0.57459
201,yolo6l-d1w25_160,0.72561,0.51667,0.60367,0.30894
202,yolo6l-d1w25_192,0.7779,0.61117,0.69202,0.36849
203,yolo6l-d1w25_224,0.80636,0.6603,0.73552,0.37882
204,yolo6l-d1w25_256,0.83637,0.71367,0.79008,0.4511
205,yolo6l-d1w25_288,0.84965,0.74684,0.81953,0.47796
206,yolo6l-d1w25_320,0.86425,0.7686,0.83913,0.4985
207,yolo6l-d1w25_352,0.87565,0.77985,0.85201,0.51371
208,yolo6l-d1w25_384,0.88796,0.79507,0.86672,0.52974
209,yolo6l-d1w25_416,0.89143,0.80781,0.87637,0.54209
210,yolo6l-d1w25_448,0.89523,0.81284,0.88045,0.53455
211,yolo6l-d1w25_480,0.89985,0.82221,0.88771,0.55825
212,yolo6l-d33w25_160,0.71396,0.5148,0.58992,0.2935
213,yolo6l-d33w25_192,0.7641,0.60198,0.67668,0.35468
214,yolo6l-d33w25_224,0.7916,0.64545,0.72193,0.367
215,yolo6l-d33w25_256,0.82515,0.70042,0.77655,0.43724
216,yolo6l-d33w25_288,0.84253,0.73082,0.80551,0.46411
217,yolo6l-d33w25_320,0.85639,0.7513,0.827,0.48733
218,yolo6l-d33w25_352,0.87122,0.76768,0.84395,0.503
219,yolo6l-d33w25_384,0.87794,0.78367,0.85636,0.51747
220,yolo6l-d33w25_416,0.88741,0.79221,0.86711,0.53004
221,yolo6l-d33w25_448,0.88939,0.80011,0.87356,0.52498
222,yolo6l-d33w25_480,0.89358,0.80895,0.88153,0.54871
223,yolo6l-d33w5_160,0.76609,0.5619,0.6576,0.35222
224,yolo6l-d33w5_192,0.81072,0.6497,0.73514,0.41226
225,yolo6l-d33w5_224,0.8335,0.69382,0.77612,0.41704
226,yolo6l-d33w5_256,0.85926,0.74734,0.82206,0.4886
227,yolo6l-d33w5_288,0.87057,0.7756,0.84681,0.51172
228,yolo6l-d33w5_320,0.88274,0.79351,0.86336,0.53094
229,yolo6l-d33w5_352,0.89405,0.80488,0.87525,0.54318
230,yolo6l-d33w5_384,0.89646,0.81985,0.88458,0.55377
231,yolo6l-d33w5_416,0.90505,0.82566,0.89099,0.56345
232,yolo6l-d33w5_448,0.90434,0.83329,0.89472,0.55251
233,yolo6l-d33w5_480,0.90573,0.83994,0.9007,0.57594
234,yolo6l-d33w75_160,0.78656,0.56917,0.67553,0.37303
235,yolo6l-d33w75_192,0.82726,0.66605,0.75487,0.43663
236,yolo6l-d33w75_224,0.84579,0.70977,0.79165,0.43494
237,yolo6l-d33w75_256,0.87093,0.76098,0.83544,0.51024
238,yolo6l-d33w75_288,0.88505,0.78747,0.86021,0.5324
239,yolo6l-d33w75_320,0.8915,0.80747,0.87489,0.54914
240,yolo6l-d33w75_352,0.89976,0.81968,0.88541,0.55996
241,yolo6l-d33w75_384,0.90016,0.82956,0.89315,0.56971
242,yolo6l-d33w75_416,0.90803,0.83864,0.90201,0.57845
